SEX,AGE,UNIT,DESIGNATION,PAST EXP,RATINGS,DOJ,CURRENT DATE,years_experience,SALARY
Male,32,Sales,Analyst,0,2,2023-03-24,2024-07-01,1.3,37350.0
Female,36,IT,Analyst,7,4,2012-10-29,2024-07-01,11.7,64750.0
Female,44,IT,Senior Analyst,2,1,2018-05-09,2024-07-01,6.2,56520.0
Female,39,Sales,Analyst,6,2,2023-12-14,2024-07-01,0.5,43550.0
Male,28,IT,Senior Analyst,9,5,2012-10-23,2024-07-01,11.7,80580.0
Male,51,IT,Team Lead,7,1,2011-08-06,2024-07-01,12.9,88970.0
Male,41,IT,Analyst,5,1,2012-01-06,2024-07-01,12.5,58950.0
Female,37,Operations,Manager,9,3,2023-07-18,2024-07-01,1.0,78240.0
Female,43,Sales,Executive,8,2,2023-06-15,2024-07-01,1.0,61230.0
Female,57,IT,Executive,6,3,2011-08-03,2024-07-01,12.9,88075.0
Male,36,IT,Team Lead,9,2,2010-06-28,2024-07-01,14.0,92680.0
Female,26,IT,Senior Analyst,4,4,2012-08-25,2024-07-01,11.9,72060.0
Female,28,Marketing,Team Lead,7,3,2023-01-13,2024-07-01,1.5,64190.0
Male,45,Sales,Manager,1,3,2022-07-22,2024-07-01,1.9,70160.0
Male,38,IT,Analyst,6,5,2023-12-08,2024-07-01,0.6,49500.0
Male,45,IT,Analyst,3,3,2021-10-31,2024-07-01,2.7,47050.0
Male,32,IT,Manager,8,2,2017-08-05,2024-07-01,6.9,86000.0
Female,35,Sales,Analyst,0,5,2017-06-12,2024-07-01,7.1,52650.0
Female,46,Marketing,Senior Analyst,6,3,2023-09-13,2024-07-01,0.8,56880.0
Male,46,IT,Senior Analyst,5,3,2015-12-07,2024-07-01,8.6,69720.0
Female,52,IT,Analyst,7,4,2016-01-14,2024-07-01,8.5,63150.0
Male,30,IT,Senior Analyst,4,3,2011-12-04,2024-07-01,12.6,71880.0
Male,36,Operations,Manager,0,1,2014-01-17,2024-07-01,10.5,79920.0
Male,27,IT,Analyst,0,5,2022-09-14,2024-07-01,1.8,43100.0
Female,37,Marketing,Analyst,8,1,2011-06-30,2024-07-01,13.0,61900.0
Female,43,Finance,Analyst,9,5,2010-10-22,2024-07-01,13.7,73150.0
Male,46,IT,Analyst,5,4,2014-04-20,2024-07-01,10.2,62500.0
